Name,Location,Address,Phone,10:00 AM,11:00 AM,12:00 PM,01:00 PM,02:00 PM,03:00 PM,04:00 PM,05:00 PM,06:00 PM,07:00 PM,08:00 PM,09:00 PM,10:00 PM
Chumma Delicious,Banashankari,"412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore","+91 9341262402
+91 9108648373",10,10,10,10,10,10,10,10,10,10,10,10,10
Dwaraka Grand,Kumaraswamy Layout,Near dayananda sagar college kumarswamy layout,+91 9448214873,10,10,10,10,10,10,10,10,10,10,10,10,10
South Kitchen,Basavanagudi,"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",+91 9880980009,10,10,10,10,10,10,10,10,10,10,10,10,10
Kamat Bugle Rock,Basavanagudi,"1, 5th Main Road, Bull Temple Road, Basavanagudi, Bangalore",080 26605734,10,10,10,10,10,10,10,10,10,10,10,10,10
Puliyogare Point,Basavanagudi,"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore","+91 9986953484
+91 9880156235",10,10,10,10,10,10,10,10,10,10,10,10,10
Bangalore Agarwal Bhavan,Jayanagar,"36/1, 27th Cross, 4th Block, Jayanagar, Bangalore","+91 9880988500
+91 9342943356",10,10,10,10,10,10,10,10,10,10,10,10,10
Matru Sagar,Banashankari,"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore",+91 9972368854,10,10,10,10,10,10,10,10,10,10,10,10,10
Mast Punjabi,Kumaraswamy Layout,"534, 49th Cross, 50 Feet Road, Kumaraswamy Layout, Bangalore",+91 7338562176,10,10,10,10,10,10,10,10,10,10,10,10,10
South Grand,Uttarahalli,"23, 7th Main, KSRTC Layout, Chikkalsandra, Main Road, Uttarahalli, Bangalore",080 26394647,10,10,10,10,10,10,10,10,10,10,10,10,10
The Krishna Grand Xpress,Jayanagar,"183/28, 2nd Main Road, 36th B Cross, 7th Block, Jayanagar, Bangalore",+91 9845108265,10,10,10,10,10,10,10,10,10,10,10,10,10
Maiyas,Jayanagar,"459/30, 30th Cross, 4th Block, Jayanagar, Bangalore",+91 9632411352,10,10,10,10,10,10,10,10,10,10,10,10,10
Amande Patisserie,Basavanagudi,"115, 4th Main, 4th Stage, Thyagarajanagar, Near, Basavanagudi, Bangalore",080 26761080,10,10,10,10,10,10,10,10,10,10,10,10,10
Upahara Darshini,Jayanagar,"9A Main Road, 3rd Block, Jayanagar, Bangalore",+91 9980919186,10,10,10,10,10,10,10,10,10,10,10,10,10
Chai Point,Jayanagar,"525/2, Opposite Lacasa, 10th Main, 33rd Cross, 4th Block, Jayanagar, Bangalore",+91 8880141000,10,10,10,10,10,10,10,10,10,10,10,10,10
Janahaar,Banashankari,"162 , Kathreguppe Cross Road, 3rd Stage, Banashankari, Bangalore",+91 9740290589,10,10,10,10,10,10,10,10,10,10,10,10,10
Rajathadri Food Fort,Jayanagar,"19/49, Near National College, 2nd Main, 31st Cross, 7th Block, Jayanagar, Bangalore","080 26539798
+91 7619201123",10,10,10,10,10,10,10,10,10,10,10,10,10
Ayodhya Upachar,Banashankari,"199/1, Ajanaya Bhavana, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore","080 26694999
00 09901269901",10,10,10,10,10,10,10,10,10,8,10,10,10
Brundhavana Food Point,Kumaraswamy Layout,"1795, Near Police Station, 13th Main, Kumaraswamy Layout, Bangalore",+91 9743518909,10,10,10,10,10,10,10,10,10,10,10,10,10
SLV Corner Restaurant,Basavanagudi,"42, Vani Vilas Road, Ramakrishna Ashrama Circle, Basavanagudi, Bangalore",080 49653234,10,10,10,10,10,10,10,10,10,10,10,10,10
The Krishna Grand,Banashankari,"1, Monotype, 2nd Stage, Banashankari, Bangalore","080 26711192
+91 7022268193",10,10,10,10,10,10,10,10,10,10,10,10,10
Roti Ghar,Basavanagudi,"17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore","080 26629734
+91 9880141967",10,10,10,10,10,10,10,10,10,10,10,10,10
Polar Bear,Banashankari,"79, 21st Main, 2nd Stage, Banashankari, Bangalore",080 45128775,10,10,10,10,10,10,10,10,10,10,10,10,10
Pizza Hut,Banashankari,"14, 100 Feet Ring Road, 6th Block, 3rd Stage, Banashankari, Bangalore","080 39883988
080 26799999",10,10,10,10,10,10,10,10,10,10,10,10,10
Pizza Stop,Banashankari,"2454, 17th E Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",080 46640404,10,10,10,10,10,10,10,10,10,10,10,10,10
Fattoush,Bannerghatta Road,"128/54/10, First floor, Opposite IIM - B, Dasarapalya, Bannerghatta Road, Bangalore","080 41425553
+91 7337830044",10,10,10,10,10,10,10,10,10,10,10,10,10
Empire Restaurant,Bannerghatta Road,"4 & 5, Green Orchards Layout, 1st Cross, Bannerghatta Road, Bangalore",080 49653239,10,10,10,10,10,10,10,10,10,10,10,10,10
Abhiruchi Hotel,Bannerghatta Road,"81/3, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore","+91 8041470003
+91 8049597979",10,10,10,10,10,10,10,10,10,10,10,10,10
Zaitoon,JP Nagar,"21, 24th Main Road, 6th Phase, JP Nagar, Bangalore","080 41477977
080 41488988",10,10,10,10,10,10,10,10,10,10,10,10,10
Sankranthi Veg Restaurant,BTM,"986, 1st Block, Vijaya Bank Layout, 4th Stage, BTM, Bangalore",+91 8095275614,10,10,10,10,10,10,10,10,10,10,10,10,10
Butterly,Bannerghatta Road,"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",+91 7338636363,10,10,10,10,10,10,10,10,10,10,10,10,10
Black Mug Cafe,Bannerghatta Road,"1-2, Near Bhaganagar Bus Stop, Shankarnaga Road, Bhaganagar Layout, Gottigere, Bannerghatta Road, Bangalore","+91 9845561119
+91 8095257151",10,10,10,10,10,10,10,10,10,10,10,10,10
#refuel,Bannerghatta Road,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",+91 8971227222,10,10,10,10,10,10,10,10,10,10,10,10,10
WAFL,Bannerghatta Road,"3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",+91 8951725759,10,10,10,10,10,10,10,10,10,10,10,10,10
Dreamcatcher,Bannerghatta Road,"128/54/10, Ground Floor, Opposite IIM - B, above A2B Dasarapalya, Bannerghatta Road, Bangalore","+91 7090470823
+91 7996623818",10,10,10,10,10,10,10,10,10,10,10,10,10
Brews N Bites,Bannerghatta Road,"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",+91 9886791151,10,10,10,10,10,10,10,10,10,10,10,10,10
Slate Cafe,JP Nagar,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",+91 8040923832,10,10,10,10,10,10,10,10,10,10,10,10,10
Mudpipe Cafe,JP Nagar,"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",+91 9448056565,10,10,10,10,10,10,10,10,10,10,10,10,10
Biggies Burger 'n' More,JP Nagar,"114, Kothanur Main Road, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore","+91 9740962288
080 41145111",10,10,10,10,10,10,10,10,10,10,10,10,10
Onesta,JP Nagar,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore","+91 8904001150
+91 8904001151",10,10,10,10,10,10,10,10,10,10,10,10,10
Cafe Potpourri,JP Nagar,"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore","+91 8884553680
+91 7026274274",10,10,10,10,10,10,10,10,10,10,10,10,10
Vinaya Coffee Moments,JP Nagar,"Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore","+91 9538699211
080 49566825",10,10,10,10,10,10,10,10,10,10,10,10,10
Skytouch Le Cafe,JP Nagar,"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore","080 40932483
+91 9740848803",10,10,10,10,10,10,10,10,10,10,10,10,10
Woodee Pizza,JP Nagar,"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",+91 7406827272,10,10,10,10,10,10,10,10,10,10,10,10,10
Capsicum Family Restaurant,BTM,"774, 3rd Floor, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",080 49652641,10,10,10,10,10,10,10,10,10,10,10,10,10
Easy Bites,JP Nagar,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, 7th Phase, JP Nagar Bangalore",080 43334321,10,10,10,10,10,10,10,10,10,10,10,10,10
Al-Bek,JP Nagar,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",080 43334321,10,10,10,10,10,10,10,10,10,10,10,10,10
Aniram's,JP Nagar,"5th A Cross, Lakshmi Complex, Manjunatha Colony, Near RV Dental College, 2nd phase, JP Nagar, Bangalore","+91 8867760111
+91 8867760222",10,10,10,10,10,10,10,10,10,10,10,10,10
Punjabi Nawabi,Bannerghatta Road,"Shop 9, 1st Floor, SBI Building, New DLF New Town, Opposite Ample Mart, Bannerghatta Road, Bangalore","+91 9916713131
+91 9916813131",10,10,10,10,10,10,10,10,10,10,10,10,10
Swad Punjab Da,BTM,"324, 23rd Main, 3rd Cross, 2nd Stage, BTM, Bangalore",+91 8360151853,10,10,10,10,10,10,10,10,10,10,10,10,10
BOX8- Desi Meals,Bannerghatta Road,"Shbari Complex, Arakere Mico Layout, Govinda Reddy Layout, Off B G Road, Bannerghatta Road, Bangalore",080 33552698,10,10,10,10,10,10,10,10,10,10,10,10,10
Midnight Mania,BTM,"43, Arasu Nilaya 1st Floor, Opp To Patel Medical, 7th Main Road, 2nd Stage, BTM, Bangalore",+91 9066022868,10,10,10,10,10,10,10,10,10,10,10,10,10
Kitchens@JP Nagar,JP Nagar,"#35/4, 24th main JP Nagar 7th phase, Puttenahalli, JP Nagar, Bangalore",080 43334321,10,10,10,10,10,10,10,10,10,10,10,10,10
Paratha Junction,BTM,"56, 7th Main, Yellappa Layout, 2nd Stage, BTM, Bangalore",+91 9535673059,10,10,10,10,10,10,10,10,10,10,10,10,10
Kalingas,BTM,"399, 16th Main, N.S Palya, BTM, Bangalore",080 42038180,10,10,10,10,10,10,10,10,10,10,10,10,10
Kanteen The Eatery,Bannerghatta Road,"22, Nyanapanahalli Main Road, Opposite Dominos Road, Before New DLF Township Circle, Bannerghatta Road, Bangalore",080 43749430,10,10,10,10,10,10,10,10,10,10,10,10,10
Donne Biriyani House,JP Nagar,"99/2A, Kothnoor Main Road, Opposite RBI Layout Bus Stop, 7th Phase, JP Nagar, Bangalore","080 41614200
+91 9886944200",10,10,10,10,10,10,10,10,10,10,10,10,10
FreshMenu,Bannerghatta Road,"23/24, Ground Floor, 2nd Cross, Arekere Main Road, Bannerghatta Road, Bangalore",+91 9019245000,10,10,10,10,10,10,10,10,10,10,10,10,10
Shanthi Sagar,JP Nagar,"77/1, 24th Main, 2nd Phase, JP Nagar, Bangalore",+91 8217521220,10,10,10,10,10,10,10,10,10,10,10,10,10
Cakebuy,Bannerghatta Road,"1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Bannerghatta Road, Bangalore",+91 8496934114,10,10,10,10,10,10,10,10,10,10,10,10,10
Five Star Chicken,JP Nagar,"18th Cross road, 5th Phase, JP Nagar, Bangalore",+91 8884121777,10,10,10,10,10,10,10,10,10,10,10,10,10
Behrouz Biryani,Bannerghatta Road,"69/1, Gowreesha Complex, Opposite Ananda Valmart Apartment, Doddakammanahalli, Bannerghatta Road, Bangalore",091 7700050050,10,10,10,10,10,10,10,10,10,10,10,10,10
Hind Ka Chulah,Bannerghatta Road,"Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore","+91 9738933467
+91 8970646882",10,10,10,10,10,10,10,10,10,10,10,10,10
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,JP Nagar,"Shop 1, 129, 24th Main, 5th Phase, JP Nagar, Bangalore","+91 9880101051
+91 9742661909",10,10,10,10,10,10,10,10,10,10,10,10,10
Pizza Hut,JP Nagar,"311, 15th Cross, 5th Phase, JP Nagar, Bangalore",080 39883988,10,10,10,10,10,10,10,10,10,10,10,10,10
Biryani Durbar,Bannerghatta Road,"452, 2nd Main, 8th Cross, Lakshmi Layout, Mico Layout, Arakere, Bannerghatta Road, Bangalore",080 49652102,10,10,10,10,10,10,10,10,10,10,10,10,10
Mahesh Friends Food Center,BTM,"14/6, 9th Main Road, Opposite Water Tank, 100 Feet Road, 2nd Stage, BTM, Bangalore",+91 9731081364,10,10,10,10,10,10,10,10,10,10,10,10,10
Kabab Magic,Jayanagar,"1548, East End Circle, 9th Block, Jayanagar, Bangalore",080 26490895,10,10,10,10,10,10,10,10,10,10,10,10,10
Burger King,Bannerghatta Road,"Royal Meenakshi Mall, Third Floor, Unit T001B & T007, Opposite Meenakshi Temple, Hulimavu, Bannerghatta Road, Bangalore",080 33558000,10,10,10,10,10,10,10,10,10,10,10,10,10
Dadi's Dum Biryani,Bannerghatta Road,"7, 2nd Floor, Krish Towers, Arekere Signal, Bannerghatta Road, Bangalore","+91 7090377777
080 43716050",10,10,10,10,10,10,10,10,10,10,10,10,10
Alankrutha,BTM,"935, Sri Arcade, 1st Floor, 16th Main Road, Near Udupi Garden Signal, BTM, Bangalore",080 71967536,10,10,10,10,10,10,10,10,10,10,10,10,10
Paradise,JP Nagar,"915, 24th Main Road, 2nd Phase, Mayura Circle, JP Nagar, Bangalore","+91 9513477574
+91 9901842605",10,10,10,10,10,10,10,10,10,10,10,10,10
Andhra Ruchulu,JP Nagar,"1319, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore","+91 8970409660
+91 9900262033",10,10,10,10,10,10,10,10,10,10,10,10,10
Cheesiano Pizza,JP Nagar,"16, 17, 18/2 Sarakki Lake, 24th Main, 6th Phase, JP Nagar, Bangalore","+91 8043761455
+91 7678077768",10,10,10,10,10,10,10,10,10,10,10,10,10
Le Arabia,JP Nagar,"15, Bannerghatta Main Road, JP Nagar, Bangalore",+91 8041410082,10,10,10,10,10,10,10,10,10,10,10,10,10
KFC,JP Nagar,"948, 24th Main Road, 2nd Phase, JP Nagar, Bangalore",080 33994444,10,10,10,10,10,10,10,10,10,10,10,10,10
Dande's Hyderabad Biryani,Bannerghatta Road,"5, 17th Main, 5th Cross, Behind Vijaya Enclave, Kodichickenahalli Road, Vijaya Bank Layout, Billekahalli, Bannerghatta Road, Bangalore",080 41454647,10,10,10,10,10,10,10,10,10,10,10,10,10
Shuddh Desi Khana,Bannerghatta Road,"F 7, Ranka Villa, Opposite Kalyani Motors, Bilekahalli Main Road, Bannerghatta Road, Bangalore",080 49653152,10,10,10,10,10,10,10,10,10,10,10,10,10
Aramane Donne Biriyani,BTM,"749, 7th Cross 14th Main, 2nd Stage, BTM, Bangalore","+91 7411877401
+91 7829588445",10,10,10,10,10,10,10,10,10,10,10,10,10
Amontron,BTM,"19 D Cross, 7th Main, BTM, Bangalore",+91 9742326196,10,10,10,10,10,10,10,10,10,10,10,10,10
Fish Chain,JP Nagar,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",+91 7676564444,10,10,10,10,10,10,10,10,10,10,10,10,10
Hyderabad Biryaani House,Bannerghatta Road,"Arakere Gate, Next to HSBC, Opposite Reliance Mart, Bannerghatta Road, Bangalore","+91 9845699901
+91 9986438789",10,10,10,10,10,10,10,10,10,10,10,10,10
Chicken County Grand,Bannerghatta Road,"13, Opposite Auchan Hyper Market, Bannerghatta Road, Bangalore","080 26533377
080 26533378",10,10,10,10,10,10,10,10,10,10,10,10,10
Roll Over,JP Nagar,"10, Ground Floor, 24th Main, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore","+91 9901999868
+91 9986034959",10,10,10,10,10,10,10,10,10,10,10,10,10
Savoury - Sea Shell Restaurant,Bannerghatta Road,"10, Near Maruti Sagar Automobiles, Bhavani Layout, Bannerghatta Road, Bangalore","080 49994999
080 65555988",10,10,10,10,10,10,10,10,10,10,10,10,10
Firangi Bake,Bannerghatta Road,"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",+91 7710090007,10,10,10,10,10,10,10,10,10,10,10,10,10
Kundana,Bannerghatta Road,"176, 1st Floor, Above Vodafone Store, Opposite Brand Factory, Bannerghatta Road, Bangalore",080 49652729,10,10,10,10,10,10,10,10,10,10,10,10,10
The Shawarma Shop,BTM,"688, Opposite IWWA Party Hall, 7th Main, BTM, Bangalore",+91 9343665007,10,10,10,10,10,10,10,10,10,10,10,10,10
Faasos,Bannerghatta Road,"Shop 161,161A,166, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",+91 7700020020,10,10,10,10,10,10,10,10,10,10,10,10,10
Mealer.in,JP Nagar,"175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore","080 48542046
+91 9513771133",10,10,10,10,10,10,10,10,10,10,10,10,10
Pathaan Sir,BTM,"16th Main, 2nd Stage, BTM, Bangalore",080 42244044,10,10,10,10,10,10,10,10,10,10,10,10,10
Grills & Rolls,JP Nagar,"17/1, SNVR Complex, Opposite Royal School, 24th Main, 18th Cross, JP Nagar, Bangalore",080 26593949,10,10,10,10,10,10,10,10,10,10,10,10,10
Stories,JP Nagar,"15, 24th Main Road, 1st Phase, JP Nagar, Bangalore",080 49653116,10,10,10,10,10,10,10,10,10,10,10,10,10
Hunger Bee,Bannerghatta Road,"3rd Floor, 5, 3 Road Cross, DLF Main Road, Bannerghatta Road, Bangalore","+91 7337613999
+91 7338032999",10,10,10,10,10,10,10,10,10,10,10,10,10
Yum In My Tum,BTM,"766/A, 16th Main Road, BTM 2nd Stage, Bangalore",+91 9108084789,10,10,10,10,10,10,10,10,10,10,10,10,10
Biryani Miya,JP Nagar,"175-176, Bannerghatta Main Road, Dollars Colony, Behind Vodafone Store, Phase 4, JP Nagar, Bangalore",080 49652509,10,10,10,10,10,10,10,10,10,10,10,10,10
Elegant Dining,Bannerghatta Road,"9/10/9/1, Hulimavu Begur Road, 80 Ft Road, Near DLF Township, Bannerghatta Road, Bangalore","+91 9900900063
+91 9916087820",10,10,10,10,10,10,10,10,10,10,10,10,10
Waffle Head,BTM,"24, 3rd 'B' Cross, 7th Cross, 18th Main, 2nd Stage, BTM, Bangalore",080 49653258,10,10,10,10,10,10,10,10,10,10,10,10,10
Basmati Delights,BTM,"Shop 1, 1st Floor, BTM Complex, 9th Main Road, Layout 1st Stage, BTM, Bangalore","080 65996599
+91 9141111222",10,10,10,10,10,10,10,10,10,10,10,10,10
Punjabi Swag,BTM,"950, 16th Main Road, 2nd Stage, BTM, Bangalore","+91 9902920892
+91 9902820893",10,10,10,10,10,10,10,10,10,10,10,10,10
The Bong Palate,BTM,"32, 16th Main Road, 1st Cross, Mahadeshwara Nagar, BTM 2nd Stage, Bangalore","+91 6363053927
+91 9886076868",10,10,10,10,10,10,10,10,10,10,10,10,10
Crunch Pizzas,BTM,"2, Mangammanapalya Main Rd, Hosapalaya, Muneshwara Nagar, BTM, Bangalore","+91 9538258708
+91 8884908439",10,10,10,10,10,10,10,10,10,10,10,10,10
BANGALORE BOX,BTM,"934, 1st Block, 4th Stage, DC Halli, BG Road, BTM, Bangalore","+91 9901402636
+91 8049577779",10,10,10,10,10,10,10,10,10,10,10,10,10
Ovenstory Pizza,Bannerghatta Road,"Bannerghatta Road, Bangalore",18002700913,10,10,10,10,10,10,10,10,10,10,10,10,10
Domino's Pizza,Bannerghatta Road,"Ground Floor, Gowry's, Next To Vijaya Bank, Arakere Gate, Bannerghatta Road, Bangalore","080 26486401
18602100000",10,10,10,10,10,10,10,10,10,10,10,10,10
Garma Garam,Bannerghatta Road,"MICO Layout, Arakere, Opposite Vijaya Bank, Bannerghatta Road, Bangalore","+91 9986834292
+91 8660426565",10,10,10,10,10,10,10,10,10,10,10,10,10
BIB - Breakfast in the Box,Bannerghatta Road,"52, 1st Floor, 3rd Cross, Omkar Nagar Arkere Gate, Near Reliance Store, Bannerghatta Road, Bangalore",+91 7005889963,10,10,10,10,10,10,10,10,10,10,10,10,10
Rock Stone Ice Cream Factory,BTM,"7/31, 7th Cross Road, Stage 2, BTM, Bangalore","+91 8217517683
+91 9916997290",10,10,10,10,10,10,10,10,10,10,10,10,10
Tempteys,BTM,"26, 7th Main, 15th Cross, Mico Layout, 2nd Stage, BTM, Bangalore","+91 7349760223
+91 9611856377",10,10,10,10,10,10,10,10,10,10,10,10,10
Late Night,Kumaraswamy Layout,"1st Stage, Kumaraswamy Layout, Bangalore","+91 8884932323
080 65652324",10,10,10,10,10,10,10,10,10,10,10,10,10
Shake It Off,JP Nagar,"34, Ground Floor, 15th Cross, 4th Phase, JP Nagar, Bangalore",+91 9008002832,10,10,10,10,10,10,10,10,10,10,10,10,10
Churchill's,JP Nagar,"37/953, 2nd Floor, 24th Main, Above HDFC Bank, 2nd Phase, JP Nagar, Bangalore","+91 9035475040
+91 9845033470",10,10,10,10,10,10,10,10,10,10,10,10,10
Mojo Pizza - 2X Toppings,Bannerghatta Road,"Near Reliance Mart, Shabari Complex, Arakere Mico Layout, Off B G Road, Bannerghatta Road, Bangalore",022 33252828,10,10,10,10,10,10,10,10,10,10,10,10,10
Tandoor Garden,BTM,"5, 100 Feet Ring Road, Opposite Reliance Fresh, 1st Stage, BTM, Bangalore",+91 9141678224,10,10,10,10,10,10,10,10,10,10,10,10,10
Nite Out,JP Nagar,"175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore","080 48542046
+91 9513771133",10,10,10,10,10,10,10,10,10,10,10,10,10
Casa Piccosa,JP Nagar,"745/AB, 2nd Floor, Shravanee Square, 24th Main, 15th cross, 6th Phase, JP Nagar, Bangalore","080 39510999
080 26538999",10,10,10,10,10,10,10,10,10,10,10,10,10
Desi Vibes,BTM,"B-5, Hermain Complex, 16th Main, 2nd Stage","+91 9897255100
+91 9557333300",10,10,10,10,10,10,10,10,10,10,10,10,10
Tree Top,Wilson Garden,"Temple Tree Hotel, 3, 9th Cross, Wilson Garden, Bangalore",080 49652744,10,10,10,10,10,10,10,10,10,10,10,10,10
Firangi Bake,Banashankari,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",+91 7710090007,10,10,10,10,10,10,10,10,10,10,10,10,10
Protein Grillhouse,Jayanagar,"11, 42nd, A Cross Road, 5th Block, Jayanagar, Bangalore",080 49652878,10,10,10,10,10,10,10,10,10,10,10,10,10
Sandwichwallas,Jayanagar,"253/22, Near Ashoka Pillar, 4th Cross, 1st Block, Jayanagar, Bangalore","+91 8050588140
+91 9632513837",10,10,10,10,10,10,10,10,10,10,10,10,10
Swathi Deluxe Restaurant,Shanti Nagar,"Near Big Bazar, Double Road, Shanti Nagar, Bangalore","+91 9880218888
080 22210083",10,10,10,10,10,10,10,10,10,10,10,10,10
Domino's Pizza,Wilson Garden,"280-3, 9th Cross, Opposite Post Office, Wilson Garden, Bangalore","080 22481800
18602100000",10,10,10,10,10,10,10,10,10,10,10,10,10
Shyvan Restaurant,Shanti Nagar,"1/5, Royal Corner, Lalbagh Road, Double Road Junction, Shanti Nagar Area, Shanti Nagar, Bangalore","080 22276519
080 22234561",10,10,10,10,10,10,10,10,10,10,10,10,10
Kalpavriksha Upahara,Jayanagar,"1036, 26th Main, 4th Block, Jayanagar, Bangalore",+91 7204715751,10,10,10,10,10,10,10,10,10,10,10,10,10
Domino's Pizza,Basavanagudi,"38, Ground Floor, Bull Temple Road, Basavanagudi, Bangalore","080 22412121
18602100000",10,10,10,10,10,10,10,10,10,10,10,10,10
Blue Berry Restaurant,Bellandur,"56, Kariyammana Agrahara Road, Near Sakra Hospital, Bellandur, Bangalore",+91 7349777888,10,10,10,10,10,10,10,10,10,10,10,10,10
Udupi Ruchi,Bellandur,"17/1, ARB Complex, Ambalipura, Bellandur, Bangalore",080 41037193,10,10,10,10,10,10,10,10,10,10,10,10,10
The Paratha Company,HSR,"1554, Ground Floor, 19th Main, Sector 1, HSR, Bangalore",+91 8340766542,10,10,10,10,10,10,10,10,10,10,10,10,10
Best Of Bengal,Marathahalli,Best Of Bengal,"+91 8043708428
+91 8904771863",10,10,10,10,10,10,10,10,10,10,10,10,10
Fun Kitchen,HSR,"Shop 5, LNR Building, Harlur Road, HSR, Bangalore","+91 7349778622
+91 8586888318",10,10,10,10,10,10,10,10,10,10,10,10,10
Udupi Aatithya,Bellandur,"74/8, Ground Floor, GMR Complex, Outer Ring Road, Bellandur, Bangalore",080 49653414,10,10,10,10,10,10,10,10,10,10,10,10,10
Chai Point,HSR,"27th Main, Near NIFT, Sector-1, HSR, Bangalore",+91 8880141000,10,10,10,10,10,10,10,10,10,10,10,10,10
Sai Santhi Cafe,Marathahalli,"Panathur Main Road, Kadubeesanahalli, Marathahalli, Bangalore","+91 8048542413
+91 7349744999",10,10,10,10,10,10,10,10,10,10,10,10,10
